Time (seconds),Position (mm) ,,,,,,,,
,225 Hz,B,C,210 Hz,E,F,200 Hz,H,I
0,-0.8295,-0.886,-1.882,2.435,-1.4945,-3.173,-3.283,1.826,2.933
0.065,-2.0475,-2.325,-2.103,3.542,-2.8225,-4.058,0.185,-2.712,-1.715
0.13,-2.3795,-1.328,-2.435,-2.213,-3.4865,-4.058,4.759,-4.04,-3.818
0.195,-1.1615,-0.443,-1.328,-3.209,-2.9335,-2.804,7.489,-4.261,-4.372
0.26,-0.0555,0,0,-4.538,-1.8265,-1.476,1.66,-3.154,-5.257
0.325,1.0515,1.439,3.32,-3.099,-0.6095,2.435,-2.84,-1.937,-3.376
0.389,2.1585,3.209,4.427,-1.66,2.0475,3.689,-4.021,1.494,-1.605
0.454,3.3755,0.332,1.106,0,4.1505,-1.697,-4.464,6.032,0.166
0.519,-1.3835,-1.107,-1.771,2.435,0.6085,-4.354,-2.25,3.708,3.154
0.584,-2.3795,-3.099,-2.989,3.985,-2.6015,-3.985,-0.184,-1.273,0.609
0.649,-1.6045,-2.103,-1.66,0.443,-3.8185,-2.73,2.767,-3.597,-2.933
0.714,-0.7195,-0.775,0,-2.656,-3.1545,-1.697,6.973,-4.704,-4.482
0.779,0.0555,0.664,0.553,-4.316,-1.4945,-0.222,2.251,-3.154,-5.478
0.844,1.3835,2.213,2.435,-3.099,0.1655,2.582,-1.734,-1.494,-3.376
0.909,2.1585,3.763,4.316,-2.213,2.3795,4.279,-4.316,1.383,-1.937
0.974,3.0435,0.885,1.439,0.222,4.5925,1.254,-3.431,4.482,0.055
1.038,1.0515,-0.554,-0.886,3.542,2.4895,-2.14,-2.103,2.158,2.933
1.103,-0.4975,-2.325,-2.657,4.759,-1.3835,-3.837,0.923,-3.154,3.154
1.168,-1.6045,-3.321,-3.653,0.332,-3.3755,-3.025,3.579,-4.261,-2.933
1.233,-2.4905,-1.992,-1.328,-2.103,-2.4905,-1.55,7.268,-5.257,-5.589
1.298,-1.0515,-0.554,1.106,-3.209,-1.0515,0.369,3.21,-3.265,-3.376
1.363,0.3875,1.328,1.992,-5.202,0.9405,2.361,-2.176,-1.937,-1.494
1.428,1.1625,2.656,3.541,-1.992,2.2685,3.837,-4.464,2.38,0.719
1.493,2.6015,0.996,0.442,0.332,4.5925,1.697,-5.866,5.7,2.49
1.558,0.7195,-0.332,-1.328,2.656,1.4935,-1.107,-2.767,3.376,4.704
1.623,-1.0515,-1.218,-2.989,5.423,-1.0515,-3.69,-1.07,-1.605,1.494
1.687,-2.0475,-3.763,-4.095,1.992,-3.5975,-4.796,1.66,-5.036,-0.387
1.752,-3.5965,-2.214,-2.214,-0.553,-2.0475,-2.361,5.202,-6.032,-3.265
1.817,-1.6045,-0.222,-0.554,-3.099,-0.6095,0.073,1.808,-3.929,-5.478
1.882,0.3875,1.771,0.885,-4.648,1.6045,2.582,-1.439,-1.715,-3.265
1.947,1.0515,4.095,3.32,-1.771,2.9325,4.058,-4.021,0.83,-0.941
2.012,2.6015,2.656,0.996,0,4.3715,1.844,-6.013,4.261,1.273
2.077,0.8305,0.442,-0.775,2.656,1.7155,-1.919,-2.693,5.479,3.708
2.142,-0.7195,-1.218,-2.103,5.534,-2.1585,-5.018,0.259,-0.83,1.051
2.207,-2.0475,-3.653,-4.095,0.775,-3.8185,-2.73,3.505,-3.597,-1.051
2.272,-4.0395,-1.107,-2.435,-0.996,-2.3795,-0.443,6.383,-4.04,-3.818
2.336,-2.0475,0,0,-3.873,0.0555,3.246,1.956,-4.15,-4.925
2.401,0.1665,2.435,1.328,-5.091,1.6045,4.87,-1.66,-2.38,-2.601
2.466,1.2725,4.537,2.988,-2.435,3.5965,1.328,-4.242,0.498,-0.055
2.531,2.7115,2.767,1.328,0.332,4.5925,-0.295,-6.161,2.49,2.269
2.596,0.2765,1.217,-0.222,2.324,1.4935,-1.992,-3.504,5.589,4.925
2.661,-1.2725,-1.218,-2.325,4.87,-1.1625,-4.649,-0.258,3.708,3.154
2.726,-2.1585,-3.21,-3.431,1.55,-3.9295,-3.247,3.579,1.273,-0.498
2.791,-4.1505,-1.66,-1.992,-1.107,-2.6015,-0.959,6.235,-2.38,-3.044
2.856,-2.4905,-0.222,0.221,-2.545,-0.9415,0.959,3.874,-4.482,-5.257
2.921,0.3875,1.439,1.771,-4.538,0.6085,3.689,-1.07,-3.044,-2.933
2.985,1.3835,3.541,3.984,-0.553,2.1575,6.714,-3.578,-0.498,-0.719
3.05,2.6015,4.095,1.106,1.771,3.3755,1.697,-5.275,2.933,1.605
3.115,0.4985,1.992,-0.775,3.099,-0.0555,-2.361,-2.471,5.036,5.036
3.18,-1.2725,-0.664,-2.214,4.759,-2.0475,-3.69,-0.037,1.273,2.048
3.245,-3.1545,-3.542,-3.874,1.55,-4.8145,-1.697,3.653,-1.162,-1.051
3.31,-4.4825,-2.103,-1.992,-1.771,-1.8265,0,6.235,-4.261,-3.265
3.375,-2.3795,0.885,0,-3.763,-1.7155,1.844,4.243,-3.376,-6.917
3.44,-0.4975,2.324,2.103,-5.091,0.8295,3.615,0.406,-1.605,-1.494
3.505,1.2725,3.984,3.541,-3.099,3.2645,6.198,-2.029,0.941,1.162
3.57,2.7115,2.103,0.332,-0.221,0.9405,1.18,-4.98,4.261,3.265
3.634,1.2725,-0.664,-0.111,2.214,-0.3875,-1.476,-2.84,6.917,4.704
3.699,0.0555,-2.325,-1.218,5.755,-3.7075,-2.804,-0.627,4.04,1.384
3.764,-1.7155,-3.653,-3.099,0.886,-2.2695,-1.402,2.841,0.387,-0.166
3.829,-3.8185,-0.996,-3.653,-1.549,-0.7195,0.221,6.53,-3.265,-0.941
3.894,-1.7155,0.885,-0.996,-2.988,0.2765,1.771,4.095,-5.036,-3.708
3.959,0.0555,2.877,0.442,-4.759,1.1615,3.172,0.406,-2.712,-6.032
4.024,2.1585,3.984,2.435,-2.988,2.9325,4.722,-2.324,0.83,-1.273
4.089,3.2655,2.656,4.205,-1.549,4.1505,2.435,-4.833,3.929,1.605
4.154,1.8265,0.885,1.549,2.546,2.1575,0.811,-2.988,6.364,4.15
4.218,0.0555,-0.996,-0.775,5.202,-1.0515,-0.738,0.48,4.482,1.494
4.283,-1.8255,-3.21,-2.435,3.099,-2.8225,-2.952,2.767,1.715,1.494
4.348,-4.1505,-1.218,-2.546,-0.775,-4.3725,-3.69,5.792,-1.605,-2.379
4.413,-3.1545,0.774,1.217,-2.545,-1.3835,-0.959,3.726,-3.818,-5.036
4.478,-1.3835,1.992,1.549,-4.538,-0.0555,1.402,-0.406,-1.715,-1.162
4.543,0.2765,3.873,2.877,-2.103,1.1615,3.763,-3.136,1.051,1.384
4.608,2.2695,4.095,3.873,0.443,2.7115,4.943,-4.906,3.818,4.261
4.673,3.0435,1.439,1.439,3.21,3.9285,0.59,-2.619,6.475,6.807
4.738,0.2765,-0.664,-0.222,5.091,1.7155,-1.992,-0.184,3.597,3.597
4.803,-1.2725,-3.431,-1.439,2.988,-1.0515,-4.575,2.546,-1.826,1.716
4.867,-3.0435,-1.66,-3.21,0,-3.1545,-2.583,5.128,-4.704,-1.162
4.932,-4.3715,0.221,-1.218,-2.435,-1.9375,-0.074,6.678,-2.712,-3.708
4.997,-1.8255,1.771,0.664,-4.759,-0.4985,2.213,1.808,-0.609,-0.609
5.062,0.3875,3.431,2.103,-2.656,1.6045,4.205,-2.619,1.162,2.712
5.127,2.4905,3.873,4.205,0.886,3.0435,4.943,-4.685,3.265,3.708
5.192,3.3755,-0.554,1.992,3.099,3.7075,1.328,-2.324,6.807,5.811
5.257,2.0475,-3.763,0.221,4.981,-0.4985,-1.771,0.923,3.265,4.15
5.322,0.0555,-1.771,-0.996,3.874,-3.3755,-4.575,3.431,-2.601,-0.387
5.387,-1.9365,0.664,-2.325,0.775,-2.2695,-2.14,5.792,-5.036,-3.708
5.452,-3.9285,2.767,-0.886,-1.217,-0.4985,0.073,3.284,-2.38,-5.368
5.516,-2.3795,4.537,0.885,-3.099,0.7195,2.435,0.923,-0.055,-2.269
5.581,-0.1655,1.66,1.992,-4.759,2.4895,4.722,-1.586,2.38,1.051
5.646,1.4945,-1.439,3.652,-1.217,4.0395,3.099,-4.759,5.146,4.04
5.711,3.2655,-1.439,-0.222,1.66,2.9325,1.106,-2.324,6.696,6.364
5.776,1.3835,-4.317,-2.878,4.759,0.6085,-2.657,0.48,5.921,3.154
5.841,-0.1655,-1.882,-4.206,3.099,-1.9375,-4.427,3.284,0.387,0.055
5.906,-1.9365,-0.111,-1.882,1.107,-3.7075,-1.919,6.678,-3.376,-2.047
5.971,-3.4865,1.771,0,-0.442,-1.7155,1.033,4.612,-4.704,-4.04
6.036,-1.6045,3.099,1.881,-3.431,-0.4985,3.837,1.66,-2.49,-5.036
6.101,0.2765,4.205,4.537,-4.427,1.1615,5.386,-2.103,-0.055,-2.269
6.165,2.1585,1.771,0.996,-1.439,2.9325,3.394,-6.308,2.712,0.609
6.23,3.0435,-0.554,-2.103,0.664,4.3715,1.254,-3.873,4.482,3.154
6.295,0.8305,-1.992,-2.989,3.874,2.1575,-1.255,-0.848,1.494,5.7
6.36,-1.1615,-3.763,-4.206,5.313,-1.1625,-3.247,3.284,-2.158,4.815
6.425,-2.6005,-1.218,-2.325,1.328,-3.4865,-1.845,6.014,-4.04,1.494
6.49,-4.7035,0.332,-1.107,-1.992,-2.8225,-0.369,6.752,-5.479,-2.601
6.555,-1.9365,2.213,1.881,-4.759,-1.0515,1.623,4.833,-3.708,-4.814
6.62,0.9405,3.984,3.763,-3.099,0.0555,4.722,-1.512,-1.937,-2.712
6.685,2.6015,2.656,3.873,1.218,1.7155,2.213,-4.316,-0.277,0.498
6.75,3.4865,0.553,1.439,3.099,3.2645,-0.886,-4.833,3.265,4.15
6.814,1.4945,-0.775,-0.664,4.981,1.3835,-3.173,-2.545,5.589,6.475
6.879,-0.2765,-3.653,-2.103,2.214,-0.9415,-4.649,0.554,1.494,4.04
6.944,-2.3795,-2.103,-4.427,0.332,-2.9335,-2.361,4.317,-2.048,0.83
7.009,-3.9285,0.553,-2.325,-1.881,-1.3835,0.221,7.342,-5.036,-4.04
