150hz gel,150hz,175hz gel,175hz,200hz gel,200hz,225hz gel,225hz,250hz gel,250hz,275hz gel,275hz,300hz gel,300hz
0.010140315,0.004291442,0.032816263,0.00456259,0.002840154,0.002446255,0.003394312,0.001331205,0.001509497,0.001061472,0.000849497,0.000481205,0.000682196,0.000536144
0.477,0.472,0.556,0.478,0.348,0.315,0.33,0.148,0.226,0.16,0.136,0.156,0.102,0.125
0.405,0.652,0.422,0.456,0.324,0.249,0.246,0.223,0.135,0.119,0.127,0.146,0.048,0.053
0.386,0.521,0.486,0.458,0.261,0.319,0.174,0.259,0.186,0.116,0.083,0.063,0.064,0.103
0.434,0.579,0.384,0.413,0.253,0.244,0.365,0.17,0.172,0.156,0.094,0.102,0.057,0.089
0.377,0.557,0.504,0.477,0.317,0.235,0.191,0.234,0.128,0.151,0.066,0.089,0.088,0.067
0.414,0.499,0.547,0.413,0.232,0.368,0.278,0.197,0.116,0.182,0.07,0.121,0.056,0.071
0.521,0.522,0.495,0.474,0.297,0.194,0.243,0.208,0.104,0.132,0.053,0.089,0.032,0.056
0.464,0.463,0.34,0.436,0.296,0.289,0.312,0.235,0.139,0.179,0.089,0.133,0.063,0.053
0.405,0.505,0.417,0.348,0.358,0.322,0.278,0.19,0.139,0.081,0.047,0.097,0.055,0.056
0.406,0.568,0.664,0.507,0.236,0.218,0.347,0.195,0.141,0.145,0.083,0.113,0.05,0.038
0.405,0.464,0.501,0.283,0.228,0.264,0.33,0.209,0.152,0.157,0.074,0.118,0.061,0.059
0.463,0.522,0.469,0.412,0.375,0.307,0.261,0.21,0.116,0.104,0.052,0.106,0.057,0.025
0.434,0.406,0.521,0.467,0.174,0.286,0.243,0.25,0.129,0.174,0.073,0.094,0.05,0.048
0.405,0.582,0.417,0.328,0.351,0.253,0.399,0.092,0.104,0.132,0.052,0.093,0.057,0.046
0.492,0.464,0.469,0.458,0.261,0.28,0.197,0.238,0.15,0.145,0.066,0.121,0.039,0.094
0.579,0.551,0.443,0.391,0.266,0.304,0.295,0.169,0.128,0.145,0.073,0.102,0.063,0.127
0.291,0.557,0.469,0.369,0.26,0.203,0.244,0.156,0.082,0.153,0.083,0.126,0.077,0.066
0.291,0.493,0.547,0.307,0.278,0.263,0.26,0.268,0.104,0.134,0.063,0.105,0.039,0.116
0.522,0.476,0.6,0.304,0.228,0.28,0.278,0.157,0.198,0.111,0.073,0.092,0.07,0.099
0.495,0.524,0.391,0.435,0.209,0.303,0.226,0.17,0.082,0.206,0.076,0.105,0.067,0.071
0.524,0.522,0.417,0.305,0.341,0.288,0.246,0.182,0.105,0.119,0.066,0.16,0.071,0.064
0.493,0.647,0.495,0.375,0.253,0.269,0.208,0.202,0.141,0.164,0.075,0.124,0.052,0.064
0.528,0.492,0.417,0.369,0.22,0.252,0.403,0.194,0.127,0.113,0.052,0.11,0.057,0.036
0.467,0.505,0.475,0.348,0.278,0.322,0.296,0.181,0.099,0.179,0.074,0.121,0.08,0.069
0.409,0.534,0.552,0.479,0.208,0.252,0.263,0.207,0.139,0.136,0.074,0.074,0.056,0.03
0.493,0.551,0.42,0.521,0.313,0.228,0.312,0.146,0.174,0.107,0.063,0.082,0.059,0.065
0.435,0.493,0.443,0.413,0.368,0.283,0.192,0.218,0.128,0.111,0.063,0.095,0.096,0.037
0.376,0.494,0.514,0.412,0.348,0.253,0.278,0.235,0.116,0.191,0.066,0.099,0.109,0.063
0.493,0.524,0.521,0.501,0.249,0.27,0.295,0.272,0.139,0.215,0.135,0.087,0.059,0.071
0.406,0.464,0.472,0.435,0.226,0.28,0.226,0.221,0.139,0.135,0.093,0.102,0.061,0.124
0.493,0.577,0.495,0.458,0.3,0.247,0.261,0.195,0.139,0.179,0.042,0.104,0.047,0.075
0.463,0.376,0.366,0.468,0.348,0.287,0.296,0.202,0.116,0.111,0.056,0.117,0.07,0.143
0.463,0.521,0.573,0.478,0.332,0.313,0.226,0.195,0.15,0.128,0.073,0.135,0.05,0.119
0.405,0.467,0.443,0.347,0.236,0.252,0.261,0.249,0.127,0.15,0.042,0.087,0.067,0.069
0.405,0.495,0.365,0.434,0.258,0.192,0.226,0.251,0.139,0.105,0.083,0.118,0.074,0.059
0.405,0.568,0.469,0.326,0.244,0.295,0.263,0.198,0.162,0.174,0.056,0.093,0.063,0.063
0.347,0.551,0.469,0.458,0.354,0.291,0.221,0.215,0.139,0.18,0.056,0.07,0.067,0.077
0.376,0.535,0.527,0.474,0.226,0.33,0.314,0.186,0.116,0.14,0.063,0.104,0.055,0.045
0.637,0.608,0.634,0.337,0.313,0.322,0.278,0.209,0.104,0.117,0.052,0.105,0.052,0.076
0.376,0.495,0.443,0.413,0.291,0.226,0.261,0.184,0.116,0.15,0.084,0.072,0.049,0.036
0.381,0.681,0.469,0.343,0.226,0.27,0.366,0.171,0.162,0.127,0.063,0.104,0.048,0.066
0.406,0.463,0.469,0.396,0.351,0.29,0.174,0.143,0.132,0.132,0.106,0.107,0.016,0.048
0.434,0.668,0.443,0.436,0.313,0.237,0.191,0.156,0.15,0.184,0.067,0.087,0.028,0.03
0.406,0.471,0.475,0.261,0.249,0.258,0.295,0.263,0.181,0.149,0.053,0.14,0.047,0.038
0.434,0.409,0.45,0.347,0.278,0.215,0.278,0.158,0.109,0.159,0.127,0.078,0.033,0.042
0.617,0.458,0.495,0.412,0.232,0.246,0.226,0.195,0.151,0.119,0.067,0.118,0.039,0.045
0.405,0.505,0.443,0.414,0.242,0.28,0.33,0.169,0.15,0.133,0.038,0.066,0.032,0.071
0.348,0.557,0.495,0.456,0.334,0.279,0.278,0.216,0.15,0.234,0.084,0.105,0.04,0.092
0.464,0.499,0.523,0.456,0.354,0.332,0.313,0.186,0.116,0.123,0.084,0.104,0.07,0.098
0.405,0.562,0.495,0.413,0.261,0.238,0.278,0.203,0.11,0.145,0.052,0.105,0.047,0.092
0.405,0.352,0.501,0.456,0.296,0.306,0.243,0.181,0.15,0.122,0.042,0.124,0.047,0.08
0.467,0.528,0.582,0.435,0.295,0.25,0.243,0.2,0.127,0.175,0.031,0.075,0.047,0.072
0.377,0.528,0.538,0.521,0.261,0.3,0.295,0.196,0.127,0.138,0.063,0.107,0.055,0.054
0.435,0.585,0.599,0.415,0.295,0.278,0.243,0.236,0.208,0.107,0.086,0.096,0.131,0.092
