Nr	time (min)	time (hr)	x [pixel]	y [pixel]	x [pixel]	x [µm]
1	0	0	1275	441	-3.43	-10.586
2	10	0.167	1281	441	2.57	7.932
3	20	0.333	1281	441	2.57	7.932
4	30	0.5	1269	441	-9.43	-29.105
5	40	0.667	1287	438	8.57	26.451
6	50	0.833	1272	438	-6.43	-19.846
7	60	1	1281	438	2.57	7.932
8	70	1.167	1278.5	436.167	0.07	0.216
9	80	1.333	1282.5	435.167	4.07	12.562
10	90	1.5	1276.833	435.167	-1.597	-4.929
11	100	1.667	1281.833	435.167	3.403	10.503
12	110	1.833	1287.833	435.167	9.403	29.022
13	120	2	1283.833	436.5	5.403	16.676
14	130	2.167	1276.5	435.167	-1.93	-5.957
15	140	2.333	1283.5	434.833	5.07	15.648
16	150	2.5	1289.833	435.167	11.403	35.194
17	160	2.667	1280.167	435.167	1.737	5.361
18	170	2.833	1272.833	434.5	-5.597	-17.275
19	180	3	1284.167	433.167	5.737	17.707
20	190	3.167	1275.167	433.5	-3.263	-10.071
21	200	3.333	1268.833	434.167	-9.597	-29.62
22	210	3.5	1281.167	434.167	2.737	8.448
23	220	3.667	1286.833	435.167	8.403	25.935
24	230	3.833	1275.833	435.167	-2.597	-8.015
25	240	4	1271.833	434.167	-6.597	-20.361
26	250	4.167	1281.5	434.167	3.07	9.475
27	260	4.333	1276.5	434.167	-1.93	-5.957
28	270	4.5	1268.5	435.167	-9.93	-30.648
29	280	4.667	1284.167	435.5	5.737	17.707
30	290	4.833	1278.167	435.5	-0.263	-0.812
31	300	5	1273.5	434.833	-4.93	-15.216
32	310	5.167	1280.167	434.833	1.737	5.361
33	320	5.333	1285.833	434.833	7.403	22.849
34	330	5.5	1278.5	434.833	0.07	0.216
35	340	5.667	1275.5	434.167	-2.93	-9.043
36	350	5.833	1283.5	434.167	5.07	15.648
37	360	6	1277.167	434.5	-1.263	-3.898
38	370	6.167	1274.833	434.5	-3.597	-11.102
39	380	6.333	1284.167	433.833	5.737	17.707
40	390	6.5	1279.5	433.167	1.07	3.302
41	400	6.667	1273.167	433.167	-5.263	-16.244
42	410	6.833	1282.167	433.167	3.737	11.534
43	420	7	1285.833	433.833	7.403	22.849
44	430	7.167	1277.5	433.833	-0.93	-2.87
45	440	7.333	1273.167	433.833	-5.263	-16.244
46	450	7.5	1279.5	433.833	1.07	3.302
47	460	7.667	1280.5	434.167	2.07	6.389
48	470	7.833	1274.833	434.167	-3.597	-11.102
49	480	8	1270.167	435.167	-8.263	-25.503
50	490	8.167	1277.5	434.833	-0.93	-2.87
51	500	8.333	1281.5	433.833	3.07	9.475
52	510	8.5	1278.5	432.833	0.07	0.216
53	520	8.667	1276.833	434.833	-1.597	-4.929
54	530	8.833	1280.833	434.833	2.403	7.417
55	540	9	1279.5	433.833	1.07	3.302
56	550	9.167	1275.833	433.833	-2.597	-8.015
57	560	9.333	1280.833	433.833	2.403	7.417
58	570	9.5	1277.167	433.833	-1.263	-3.898
59	580	9.667	1274.833	433.833	-3.597	-11.102
60	590	9.833	1282.167	433.833	3.737	11.534
61	600	10	1277.167	432.5	-1.263	-3.898
62	610	10.167	1275.167	433.167	-3.263	-10.071
63	620	10.333	1279.5	433.167	1.07	3.302
64	630	10.5	1284.5	433.167	6.07	18.735
65	640	10.667	1278.167	432.5	-0.263	-0.812
66	650	10.833	1273.833	433.5	-4.597	-14.188
67	660	11	1279.833	433.5	1.403	4.33
68	670	11.167	1284.167	433.5	5.737	17.707
69	680	11.333	1274.167	431.833	-4.263	-13.157
70	690	11.5	1279.833	431.833	1.403	4.33
71	700	11.667	1280.5	433.167	2.07	6.389
72	710	11.833	1276.5	433.167	-1.93	-5.957
73	720	12	1280.833	433.167	2.403	7.417
74	730	12.167	1283.167	433.167	4.737	14.62
75	740	12.333	1279.5	433.167	1.07	3.302
76	750	12.5	1277.167	433.167	-1.263	-3.898
77	760	12.667	1275.833	433.167	-2.597	-8.015
78	770	12.833	1281.5	433.167	3.07	9.475
79	780	13	1277.5	433.167	-0.93	-2.87
80	790	13.167	1272.833	433.167	-5.597	-17.275
81	800	13.333	1276.5	433.167	-1.93	-5.957
82	810	13.5	1279.5	433.167	1.07	3.302
83	820	13.667	1281.5	433.167	3.07	9.475
84	830	13.833	1278.833	433.167	0.403	1.244
85	840	14	1275.833	433.167	-2.597	-8.015
86	850	14.167	1274.5	433.167	-3.93	-12.13
87	860	14.333	1277.167	433.167	-1.263	-3.898
88	870	14.5	1279.833	433.167	1.403	4.33
89	880	14.667	1277.167	433.167	-1.263	-3.898
90	890	14.833	1273.833	433.167	-4.597	-14.188
91	900	15	1282.5	433.167	4.07	12.562
92	910	15.167	1276.167	433.167	-2.263	-6.985
93	920	15.333	1273.5	433.167	-4.93	-15.216
94	930	15.5	1276.833	433.167	-1.597	-4.929
95	940	15.667	1282.833	433.167	4.403	13.59
96	950	15.833	1279.167	433.167	0.737	2.275
97	960	16	1277.167	433.167	-1.263	-3.898
98	970	16.167	1270.833	433.167	-7.597	-23.448
99	980	16.333	1278.167	433.167	-0.263	-0.812
100	990	16.5	1282.167	433.167	3.737	11.534
101	1000	16.667	1277.833	433.167	-0.597	-1.843
102	1010	16.833	1271.833	433.167	-6.597	-20.361
103	1020	17	1278.167	433.167	-0.263	-0.812
104	1030	17.167	1283.833	433.167	5.403	16.676
105	1040	17.333	1278.167	433.167	-0.263	-0.812
106	1050	17.5	1275.833	433.167	-2.597	-8.015
107	1060	17.667	1272.167	433.167	-6.263	-19.33
108	1070	17.833	1276.167	433.167	-2.263	-6.985
109	1080	18	1280.167	433.167	1.737	5.361
110	1090	18.167	1282.5	433.167	4.07	12.562
111	1100	18.333	1277.833	433.167	-0.597	-1.843
112	1110	18.5	1275.167	433.167	-3.263	-10.071
113	1120	18.667	1272.5	433.167	-5.93	-18.302
114	1130	18.833	1276.167	433.167	-2.263	-6.985
115	1140	19	1279.833	433.167	1.403	4.33
116	1150	19.167	1285.833	433.167	7.403	22.849
117	1160	19.333	1279.167	433.167	0.737	2.275
118	1170	19.5	1276.167	433.167	-2.263	-6.985
119	1180	19.667	1271.833	433.167	-6.597	-20.361
120	1190	19.833	1276.5	433.167	-1.93	-5.957
121	1200	20	1280.833	433.167	2.403	7.417
122	1210	20.167	1276.5	433.167	-1.93	-5.957
123	1220	20.333	1274.5	432.833	-3.93	-12.13
124	1230	20.5	1279.5	432.833	1.07	3.302
125	1240	20.667	1275.5	432.833	-2.93	-9.043
126	1250	20.833	1282.5	432.833	4.07	12.562
127	1260	21	1277.5	432.833	-0.93	-2.87
128	1270	21.167	1274.167	432.833	-4.263	-13.157
129	1280	21.333	1280.167	432.833	1.737	5.361
130	1290	21.5	1282.167	433.167	3.737	11.534
131	1300	21.667	1277.5	433.167	-0.93	-2.87
132	1310	21.833	1274.167	433.167	-4.263	-13.157
133	1320	22	1279.5	433.167	1.07	3.302
134	1330	22.167	1276.5	432.833	-1.93	-5.957
135	1340	22.333	1279.833	432.833	1.403	4.33
136	1350	22.5	1276.5	432.833	-1.93	-5.957
137	1360	22.667	1282.5	432.833	4.07	12.562
138	1370	22.833	1277.833	432.833	-0.597	-1.843
139	1380	23	1275.5	432.833	-2.93	-9.043
140	1390	23.167	1278.5	432.833	0.07	0.216
141	1400	23.333	1283.167	432.833	4.737	14.62
142	1410	23.5	1277.833	432.833	-0.597	-1.843
143	1420	23.667	1274.833	432.833	-3.597	-11.102
144	1430	23.833	1279.5	433.5	1.07	3.302
145	1440	24	1282.167	433.5	3.737	11.534
146	1450	24.167	1276.833	433.5	-1.597	-4.929
147	1460	24.333	1285.5	433.5	7.07	21.821
148	1470	24.5	1279.5	434.167	1.07	3.302
149	1480	24.667	1275.833	434.167	-2.597	-8.015
150	1490	24.833	1280.5	434.167	2.07	6.389
151	1500	25	1285.5	434.167	7.07	21.821
152	1510	25.167	1282.167	433.167	3.737	11.534
153	1520	25.333	1278.833	433.167	0.403	1.244
154	1530	25.5	1277.167	433.167	-1.263	-3.898
155	1540	25.667	1279.5	433.167	1.07	3.302
156	1550	25.833	1278.833	433.167	0.403	1.244
157	1560	26	1280.833	433.167	2.403	7.417
158	1570	26.167	1282.833	433.167	4.403	13.59
159	1580	26.333	1282.833	433.167	4.403	13.59
160	1590	26.5	1281.167	433.167	2.737	8.448
161	1600	26.667	1283.167	433.167	4.737	14.62
162	1610	26.833	1283.833	432.833	5.403	16.676
163	1620	27	1280.5	432.833	2.07	6.389
164	1630	27.167	1280.167	433.167	1.737	5.361
165	1640	27.333	1283.167	433.167	4.737	14.62
166	1650	27.5	1280.833	433.167	2.403	7.417
167	1660	27.667	1274.833	433.167	-3.597	-11.102
168	1670	27.833	1280.167	433.167	1.737	5.361
169	1680	28	1279.167	433.167	0.737	2.275
170	1690	28.167	1275.167	432.833	-3.263	-10.071
171	1700	28.333	1277.167	432.833	-1.263	-3.898
172	1710	28.5	1281.833	432.833	3.403	10.503
173	1720	28.667	1278.5	432.833	0.07	0.216
174	1730	28.833	1276.167	432.833	-2.263	-6.985
175	1740	29	1279.5	432.833	1.07	3.302
176	1750	29.167	1276.833	432.833	-1.597	-4.929
177	1760	29.333	1272.833	432.833	-5.597	-17.275
178	1770	29.5	1276.167	432.833	-2.263	-6.985
179	1780	29.667	1277.833	432.833	-0.597	-1.843
180	1790	29.833	1272.5	432.833	-5.93	-18.302
181	1800	30	1274.5	432.833	-3.93	-12.13
182	1810	30.167	1277.833	432.833	-0.597	-1.843
183	1820	30.333	1281.5	432.167	3.07	9.475
184	1830	30.5	1278.833	432.167	0.403	1.244
185	1840	30.667	1275.5	432.167	-2.93	-9.043
186	1850	30.833	1280.5	432.167	2.07	6.389
187	1860	31	1278.167	432.167	-0.263	-0.812
188	1870	31.167	1275.833	432.167	-2.597	-8.015
189	1880	31.333	1272.167	432.167	-6.263	-19.33
190	1890	31.5	1275.833	432.167	-2.597	-8.015
191	1900	31.667	1278.167	432.167	-0.263	-0.812
192	1910	31.833	1280.833	431.833	2.403	7.417
193	1920	32	1277.167	431.833	-1.263	-3.898
194	1930	32.167	1280.167	431.833	1.737	5.361
195	1940	32.333	1274.5	431.833	-3.93	-12.13
196	1950	32.5	1277.833	431.833	-0.597	-1.843
197	1960	32.667	1279.167	431.833	0.737	2.275
198	1970	32.833	1274.5	431.833	-3.93	-12.13
199	1980	33	1272.167	431.833	-6.263	-19.33
